5001|4001|3001|4001-01|1|1001
5002|4001|3001|4001-02|0|0
5003|4001|3001|4001-03|0|0
5004|4001|3001|4001-04|0|0
5005|4001|3001|4001-05|0|0
5006|4002|3001|4002-01|1|1031
5007|4002|3001|4002-02|1|1007
5008|4002|3001|4002-03|0|0
5009|4002|3001|4002-04|0|0
5010|4002|3001|4002-05|0|0
5011|4003|3001|4003-01|0|0
5012|4003|3001|4003-02|0|0
5013|4003|3001|4003-03|1|1013
5014|4003|3001|4003-04|0|0
5015|4003|3001|4003-05|0|0
5016|4004|3001|4004-01|0|0
5017|4004|3001|4004-02|0|0
5018|4004|3001|4004-03|0|0
5019|4004|3001|4004-04|1|1019
5020|4004|3001|4004-05|0|0
5021|4005|3001|4005-01|0|0
5022|4005|3001|4005-02|0|0
5023|4005|3001|4005-03|0|0
5024|4005|3001|4005-04|0|0
5025|4005|3001|4005-05|1|1025
5026|4006|3002|4006-01|1|1026
5027|4006|3002|4006-02|1|1002
5028|4006|3002|4006-03|0|0
5029|4006|3002|4006-04|0|0
5030|4006|3002|4006-05|0|0
5031|4007|3002|4007-01|0|0
5032|4007|3002|4007-02|1|1032
5033|4007|3002|4007-03|1|1008
5034|4007|3002|4007-04|0|0
5035|4007|3002|4007-05|0|0
5036|4008|3002|4008-01|0|0
5037|4008|3002|4008-02|0|0
5038|4008|3002|4008-03|0|0
5039|4008|3002|4008-04|1|1014
5040|4008|3002|4008-05|0|0
5041|4009|3002|4009-01|0|0
5042|4009|3002|4009-02|0|0
5043|4009|3002|4009-03|0|0
5044|4009|3002|4009-04|0|0
5045|4009|3002|4009-05|1|1020
5046|4010|3002|4010-01|0|0
5047|4010|3002|4010-02|0|0
5048|4010|3002|4010-03|0|0
5049|4010|3002|4010-04|0|0
5050|4010|3002|4010-05|0|0
5051|4011|3003|4011-01|0|0
5052|4011|3003|4011-02|1|1027
5053|4011|3003|4011-03|1|1003
5054|4011|3003|4011-04|0|0
5055|4011|3003|4011-05|0|0
5056|4012|3003|4012-01|0|0
5057|4012|3003|4012-02|0|0
5058|4012|3003|4012-03|0|0
5059|4012|3003|4012-04|1|1009
5060|4012|3003|4012-05|0|0
5061|4013|3003|4013-01|0|0
5062|4013|3003|4013-02|0|0
5063|4013|3003|4013-03|0|0
5064|4013|3003|4013-04|0|0
5065|4013|3003|4013-05|1|1015
5066|4014|3003|4014-01|0|0
5067|4014|3003|4014-02|0|0
5068|4014|3003|4014-03|0|0
5069|4014|3003|4014-04|0|0
5070|4014|3003|4014-05|0|0
5071|4015|3003|4015-01|1|1021
5072|4015|3003|4015-02|0|0
5073|4015|3003|4015-03|0|0
5074|4015|3003|4015-04|0|0
5075|4015|3003|4015-05|0|0
5076|4016|3004|4016-01|0|0
5077|4016|3004|4016-02|0|0
5078|4016|3004|4016-03|1|1028
5079|4016|3004|4016-04|1|1004
5080|4016|3004|4016-05|0|0
5081|4017|3004|4017-01|0|0
5082|4017|3004|4017-02|0|0
5083|4017|3004|4017-03|0|0
5084|4017|3004|4017-04|0|0
5085|4017|3004|4017-05|1|1010
5086|4018|3004|4018-01|0|0
5087|4018|3004|4018-02|0|0
5088|4018|3004|4018-03|0|0
5089|4018|3004|4018-04|0|0
5090|4018|3004|4018-05|0|0
5091|4019|3004|4019-01|1|1016
5092|4019|3004|4019-02|0|0
5093|4019|3004|4019-03|0|0
5094|4019|3004|4019-04|0|0
5095|4019|3004|4019-05|0|0
5096|4020|3004|4020-01|0|0
5097|4020|3004|4020-02|1|1022
5098|4020|3004|4020-03|0|0
5099|4020|3004|4020-04|0|0
5100|4020|3004|4020-05|0|0
5101|4021|3005|4021-01|0|0
5102|4021|3005|4021-02|0|0
5103|4021|3005|4021-03|0|0
5104|4021|3005|4021-04|1|1029
5105|4021|3005|4021-05|1|1005
5106|4022|3005|4022-01|0|0
5107|4022|3005|4022-02|0|0
5108|4022|3005|4022-03|0|0
5109|4022|3005|4022-04|0|0
5110|4022|3005|4022-05|0|0
5111|4023|3005|4023-01|1|1011
5112|4023|3005|4023-02|0|0
5113|4023|3005|4023-03|0|0
5114|4023|3005|4023-04|0|0
5115|4023|3005|4023-05|0|0
5116|4024|3005|4024-01|0|0
5117|4024|3005|4024-02|1|1017
5118|4024|3005|4024-03|0|0
5119|4024|3005|4024-04|0|0
5120|4024|3005|4024-05|0|0
5121|4025|3005|4025-01|0|0
5122|4025|3005|4025-02|0|0
5123|4025|3005|4025-03|1|1023
5124|4025|3005|4025-04|0|0
5125|4025|3005|4025-05|0|0
5126|4026|3006|4026-01|0|0
5127|4026|3006|4026-02|0|0
5128|4026|3006|4026-03|0|0
5129|4026|3006|4026-04|0|0
5130|4026|3006|4026-05|1|1030
5131|4027|3006|4027-01|1|1006
5132|4027|3006|4027-02|0|0
5133|4027|3006|4027-03|0|0
5134|4027|3006|4027-04|0|0
5135|4027|3006|4027-05|0|0
5136|4028|3006|4028-01|0|0
5137|4028|3006|4028-02|1|1012
5138|4028|3006|4028-03|0|0
5139|4028|3006|4028-04|0|0
5140|4028|3006|4028-05|0|0
5141|4029|3006|4029-01|0|0
5142|4029|3006|4029-02|0|0
5143|4029|3006|4029-03|1|1018
5144|4029|3006|4029-04|0|0
5145|4029|3006|4029-05|0|0
5146|4030|3006|4030-01|0|0
5147|4030|3006|4030-02|0|0
5148|4030|3006|4030-03|0|0
5149|4030|3006|4030-04|1|1024
5150|4030|3006|4030-05|0|0
